question_id,unit,question_text,marks
Q001,Unit I,"Database approach is more effective than traditional file processing systems. Justify the statement and d iscuss the characteristics of database approach.  c) Write the syntax for the following SQL statements Create, update , alter , drop 04 OR",8
Q002,Unit I,"Create the following database in SQL Sailors(sid: integer, sname: string, rating: integer, age: real) Boats(bid: integer, bname: string, color: string) Reserves(sid: integer, bid: integer, day: date) Write the following queries in SQL i. Find all information of sailors who have reserved specified boat number ii. Find the ids and names of sailors who have reserved two different boats on the same date. iii. Find the name and the age of the youngest sailor iv. Find the names of sailors wh o have reserved all boats.",8
Q003,Unit I,"Write the syntax for the following SQL statements Create, update , alter , drop.",4
Q004,Unit I,Eloborate the following concepts with suitable examples. i. Views in SQL ii. Aggregate functions ,8
Q005,Unit I,Consider an employee database with the following information Empid Ename Design Sal age 1 Anitha s Programmar 50000 35 2 Babu Sales 12000 23 3 Ram Prasad Manager 65000 49 4 Raju Attender 10000 35 Create the assertion for the following i. Where salary not greater than 65000 and not less than 10000. ii. Where age between 23 and 50,6
Q006,Unit I,With a neat diagram Summarize three schema architecture .,6
Q007,Unit I,Explain three schema architecture of database system with neat diagram. ,10
Q008,Unit I,Explain the basic constraints that can be specified when a table is created in SQL. ,10
Q009,Unit I,"Write the SQL queries for the following database schema as given below. Supplier (Sno, Sname, Status, City) Product (Pno, Pname, Color, Weight, City) Shipments ( Sno, Pno, Qty) i. Retrive names of supplier who supply part P2 ii. Retrieve the names of suppliers who do not supply any part supplied by S2. iii. Retrieve part numbers for all parts supplied by more than one supplier. iv. For each part supplied , get part number , maximum quantity and minimum quantity supplied for that part.",10
Q010,Unit I,"With respect to SQL, explain the following with an example. i)Create Command ii) Insert Command iii)Drop Command iv) Update Command",10
Q011,Unit I,Compare the characteristics that distinguish the database approach from traditional file processing method.,6
Q012,Unit I,Differentiate Central ized and Client/S erver architectures of DBMS. Discuss their advantages and disadvantages. ,7
Q013,Unit I,Describe the Component modules o f a D atabase environment a nd their interactions with a neat diagram.,7
Q014,Unit II,"Design an entity -relationship diagram for a Banking database application, depicting entity sets, attributes, relationship sets , roles and structural constraints.",10
Q015,Unit II,Explain the characteristics of Relations.,4
Q016,Unit II,Summaries the following keys with suitable examples. i) super key ii) primary key iii) candidate key,6
Q017,Unit II,"Design a database schema for the following requirements that stores information about students, courses and enrollments. STUDENT (snum: integer, sname: string, major: string, level: string, age: integer) CLASS ( cname: string, meets at: string, room: string, d: integer) ENROLLED (snum: integer, cname: string) FACULTY (fid: integer, fname: string, deptid: integer)",8
Q018,Unit II,Explain schema -based Relational Model Constraints with suitable example.,6
Q019,Unit II,Differentiate b etween Strong and Weak Entities with examples for each.,6
